"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"176","KIAA0930",0.690292902457492,6.65354054472493,4.58015066038507,0.00112624601266796,0.0104433721174666,-0.961895189919134,"NONE",FALSE,"High","Master Protein","Q6ICG6","Uncharacterized protein KIAA0930 [OS=Homo sapiens]",0,4.816,2,1,1,2,1,404,45.8,7.94,5.07,1,NA,NA,NA,"Pf09741","23313","B0QY17; B0QY19; B3KT48; hsa:23313; Q6ICG6; Q6ZVE5; Q7Z6K9; Q8IZ76; Q9Y2E2","ENSG00000100364",NA,NA,0,0,77.1,77.3,72.3,98.4,58.2,114,133.5,155.1,150.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S362(100)]",0,"ENSG00000100364"
"177","NPM1",0.47881031997193,6.55989997213962,4.56639554152673,0.00114958950126801,0.0105996048930474,-0.983184746400788,"NONE",FALSE,"High","Master Protein","P06748","Nucleophosmin [OS=Homo sapiens]",0,99.947,33,8,8,18,8,294,32.6,4.78,83.27,8,"cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","cytosol;cytoskeleton;translational apparatus;nucleus;other cell component","enzyme regulator activity;translation activity;nucleic acid binding activity;other molecular function","Pf03066, Pf16276","4869","A8K3N7; B5BU00; D3DQL6; hsa:4869; P06748; P08693; Q12826; Q13440; Q13441; Q14115; Q5EU94; Q5EU95; Q5EU96; Q5EU97; Q5EU98; Q5EU99; Q6V962; Q8WTW5; Q96AT6; Q96DC4; Q96EA5; Q9BYG9; Q9UDJ7","ENSG00000181163","TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; PKR-mediated signaling; Nuclear import of Rev protein; Deposition of new CENPA-containing nucleosomes at the centromere; SUMOylation of transcription cofactors; ALK mutants bind TKIs; Signaling by ALK fusions and activated point mutants; TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation; Nuclear events stimulated by ALK signaling in cancer; SARS-CoV-1-host interactions",NA,10,0,128.4,139.2,132.8,61.5,59.3,65.7,84.1,102.4,106.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S70(100); S125(100); S137(100); S227(100); S243(100)]",0,"ENSG00000181163"
"178","ZBTB20",-0.492421494243072,6.61067376450025,-4.54591804417619,0.00118530024617179,0.0108141347239204,-1.01492693501745,"NONE",FALSE,"High","Master Protein","Q9HC78","Zinc finger and BTB domain-containing protein 20 [OS=Homo sapiens]",0,75.025,12,4,5,11,4,741,81,6.49,41.39,4,"other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00096, Pf00651","26137","Q63HP6; Q8N6R5; Q9HC78; Q9Y410","ENSG00000181722",NA,NA,0,0,103.4,106.3,104.5,99.7,101.7,131.8,83.7,88.1,80.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T211(100); T305(99.6); S353(100); S432(99.2)]",0,"ENSG00000181722"
"179","PALLD",-0.663834716841877,6.62585313057865,-4.54177280636646,0.00119267175842071,0.0108141347239204,-1.02135944850015,"NONE",FALSE,"High","Master Protein","Q8WX93","Palladin [OS=Homo sapiens]",0,23.9,2,2,2,6,2,1383,150.5,7.09,20.33,2,"cell adhesion;cell organization and biogenesis;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cell component","cytoskeletal activity;other molecular function","Pf07679","23022","B3KTG2; B5MD56; B7ZMM5; hsa:23022; Q7L3E0; Q7Z3W0; Q86WE8; Q8N1M2; Q8WX93; Q9UGA0; Q9UQF5; Q9Y2J6; Q9Y3E9","ENSG00000129116",NA,NA,0,0,68.1,75.9,68.3,152.5,123.7,147,83.2,96.8,109.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S893(100); S1121(100)]",0,"ENSG00000129116"
"180","VCP",0.490694105016884,6.67100840090145,4.54173711084681,0.00119273544749122,0.0108141347239204,-1.02141485041803,"NONE",FALSE,"High","Master Protein","P55072","Transitional endoplasmic reticulum ATPase [OS=Homo sapiens]",0,48.672,6,4,4,7,4,806,89.3,5.26,20.49,4,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;other molecular function","Pf00004, Pf02359, Pf02933, Pf17862","7415","B2R5T8; P55072; Q0V924; Q2TAI5; Q969G7; Q9UCD5; V9HW80","ENSG00000165280","Aggrephagy; Neutrophil degranulation; HSF1 activation; E3 ubiquitin ligases ubiquitinate target proteins; ABC-family proteins mediated transport; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Defective CFTR causes cystic fibrosis; Neddylation; KEAP1-NFE2L2 pathway; Attachment and Entry; Attachment and Entry; Ovarian tumor domain proteases; Josephin domain DUBs; Protein methylation; RHOH GTPase cycle; Translesion Synthesis by POLH; N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Alstrom syndrome; Clock-controlled autophagy in bone metabolism; HDAC6 interactions in the central nervous system",21,0,98,99.3,96.9,85.5,67.5,101.1,120.1,109.3,139.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S770(100)]",0,"ENSG00000165280"
"181","PLEKHA6",-0.499154928869594,6.63037881043805,-4.52727572789094,0.0012188380034988,0.0109897437663538,-1.04387420505651,"NONE",FALSE,"High","Master Protein","Q9Y2H5","Pleckstrin homology domain-containing family A member 6 [OS=Homo sapiens]",0,30.401,3,2,2,2,2,1048,117.1,9.1,9.56,2,NA,NA,NA,"Pf00169","22874","A7MD51; hsa:22874; Q5VTI6; Q9Y2H5","ENSG00000143850","Synthesis of PIPs at the plasma membrane",NA,1,0,91.9,82.9,77.5,131.4,130.1,119.1,101.6,88.4,91,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S777(100); S867(100)]",0,"ENSG00000143850"
"182","PPP1R10",0.509383898072754,6.63707100457372,4.52272690386767,0.00122717366143142,0.0110041066783301,-1.05094467403924,"NONE",FALSE,"High","Master Protein","Q96QC0","Serine/threonine-protein phosphatase 1 regulatory subunit 10 [OS=Homo sapiens]",0,16.117,5,2,2,2,2,940,99,9.17,6.12,2,"transport;other biological processes","nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function","Pf00642, Pf08711","5514","hsa:5514; O00405; Q96QC0","ENSG00000204569; ENSG00000206489; ENSG00000227804; ENSG00000230995; ENSG00000231737; ENSG00000235291; ENSG00000238104",NA,NA,0,0,78.4,84.1,82.9,78.8,102.8,93.6,120.8,118.3,152.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S313(99.5)]",0,"ENSG00000204569"
"183","CAST",0.821474780662928,6.58221790589546,4.50966750125147,0.00125144352706644,0.011153904180455,-1.07125918324964,"NONE",FALSE,"High","Master Protein","P20810","Calpastatin [OS=Homo sapiens]",0,17.045,7,2,2,2,2,708,76.5,5.07,4.61,2,"cell organization and biogenesis;other biological processes","other membranes;cytosol;ER/Golgi;other cell component","enzyme regulator activity","Pf00748","831","B7Z468; G5E946; G5E9D3; hsa:831; O95360; P20810; Q05DE8; Q7Z4K0; Q96D08; Q9H1Z5","ENSG00000153113","Degradation of the extracellular matrix; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",NA,2,0,59.5,67.4,63.7,80.9,129.1,67.4,142,175,152.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S71(99.3); S243(100)]",0,"ENSG00000153113"
"184","LAMTOR1",0.65547943956852,6.63515683902123,4.50642510790592,0.00125754802034541,0.011153904180455,-1.07630646082218,"NONE",FALSE,"High","Master Protein","Q6IAA8","Ragulator complex protein LAMTOR1 [OS=Homo sapiens]",0,20.327,15,2,2,4,2,161,17.7,5.15,11.86,2,"cell organization and biogenesis;transport;signal transduction;other biological processes","plasma membrane;other membranes;other cytoplasmic organelle;other cell component","other molecular function","Pf15454","55004","hsa:55004; Q6IAA8; Q8WZ09; Q9NWT0","ENSG00000149357","CDC42 GTPase cycle; RAC1 GTPase cycle; RHOQ GTPase cycle; RHOG GTPase cycle; Amino acids regulate mTORC1; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOJ GTPase cycle; Neutrophil degranulation; Regulation of PTEN gene transcription; mTORC1-mediated signalling; TP53 Regulates Metabolic Genes; Macroautophagy; Energy dependent regulation of mTOR by LKB1-AMPK; RHOH GTPase cycle","Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins",17,0,107.5,97,105.7,81.5,69.1,70.3,144.6,105.7,112,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S27(100); S56(100)]",0,"ENSG00000149357"
"185","CTR9",-0.415847042076329,6.59938569514906,-4.49851009740134,0.00127258308933548,0.0112262464961919,-1.08863335328014,"NONE",FALSE,"High","Master Protein","Q6PD62","RNA polymerase-associated protein CTR9 homolog [OS=Homo sapiens]",0,15.666,3,3,5,7,3,1173,133.4,6.77,6.15,3,"cell-cell signaling;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;developmental processes;signal transduction;other biological processes","nucleus;other cell component","other molecular function","Pf13181, Pf13374","9646","D3DQV8; hsa:9646; Q15015; Q6PD62","ENSG00000198730","E3 ubiquitin ligases ubiquitinate target proteins; Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events","Endoderm differentiation",5,0,101.8,113,106,109.3,106.1,102.9,81.7,94.1,79.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S970(100)]",0,"ENSG00000198730"
"186","CHD4",-0.340342149744587,6.50332449876945,-4.48042196510733,0.00130766478678349,0.0114193693422418,-1.11683569926457,"NONE",FALSE,"High","Master Protein","Q14839","Chromodomain-helicase-DNA-binding protein 4 [OS=Homo sapiens]",0,41.94,4,3,5,12,3,1912,217.9,5.86,21.38,3,"cell organization and biogenesis;DNA metabolism;stress response;other biological processes","cytoskeleton;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00176, Pf00271, Pf00385, Pf00628, Pf06461, Pf06465, Pf08073, Pf08074","1108","Q14839; Q8IXZ5","ENSG00000111642","Potential therapeutics for SARS; NGF-stimulated transcription; Regulation of PTEN gene transcription; HDACs deacetylate histones; RNA Polymerase I Transcription Initiation; ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression; Regulation of TP53 Activity through Acetylation","Rett syndrome; Effect of progerin on genes involved in progeria",9,0,134.4,129.1,132.6,83.2,80.4,85.8,70.4,78.2,73,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1535(100)]",0,"ENSG00000111642"
"187","KLHL9",0.48787060948674,6.61589529862441,4.48001317888997,0.00130846940379854,0.0114193693422418,-1.11747357318633,"NONE",FALSE,"High","Master Protein","Q9P2J3","Kelch-like protein 9 [OS=Homo sapiens]",0,10.005,3,1,1,1,1,617,69.4,6.35,3.8,1,"cell cycle OR cell proliferation;protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","other molecular function","Pf00651, Pf01344, Pf07707","55958","hsa:55958; Q8TCQ2; Q9P2J3","ENSG00000198642","Neddylation; Antigen processing: Ubiquitination & Proteasome degradation",NA,2,0,65.7,80.3,71.3,96.5,96.4,94.4,123.6,156.4,124,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S603(100)]",0,"ENSG00000198642"
"188","SRSF8",-0.412446250542534,6.37910231790833,-4.47146284639737,0.00132542026332916,0.0115057759029425,-1.13082074561445,"NONE",FALSE,"High","Master Protein","Q9BRL6","Serine/arginine-rich splicing factor 8 [OS=Homo sapiens]",0,6.713,7,1,1,6,1,282,32.3,11.72,7.76,1,"RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus",NA,"Pf00076","10929","B2R6B8; hsa:10929; Q6PF01; Q96TA3; Q9BRL6","ENSG00000263465","mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA",NA,2,0,154.9,148,140,66.7,66.4,71.5,59.3,66.7,63,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S158(100); S173(100); S327(100)]",0,"ENSG00000263465"
"189","PSMD11",0.451334326349861,6.65211278421429,4.46431224440739,0.00133977539178412,0.0115560069221927,-1.14199046286881,"NONE",FALSE,"High","Master Protein","O00231","26S proteasome non-ATPase regulatory subunit 11 [OS=Homo sapiens]",0,2.799,2,1,1,1,1,422,47.4,6.48,2.37,1,"cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","other molecular function","Pf01399, Pf18055, Pf18503","5717","A8K3I7; E1P663; hsa:5717; O00231; O00495; Q53FT5","ENSG00000108671","Separation of Sister Chromatids; FCERI mediated NF-kB activation; Downstream TCR signaling; Antigen processing: Ubiquitination & Proteasome degradation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; ER-Phagosome pathway; Cross-presentation of soluble exogenous antigens (endosomes); SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Vpu mediated degradation of CD4; Vif-mediated degradation of APOBEC3G; Degradation of beta-catenin by the destruction complex; Regulation of activated PAK-2p34 by proteasome mediated degradation; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; AUF1 (hnRNP D0) binds and destabilizes mRNA; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; Regulation of RAS by GAPs; NIK-->noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis; MAPK6/MAPK4 signaling; UCH proteinases; Ub-specific processing proteases; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; The role of GTSE1 in G2/M progression after G2 checkpoint; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX2 expression and activity; Regulation of PTEN stability and activity; Neddylation; Regulation of expression of SLITs and ROBOs; Interleukin-1 signaling; KEAP1-NFE2L2 pathway; Somitogenesis; Neutrophil degranulation; Autodegradation of Cdh1 by Cdh1:APC/C; SCF(Skp2)-mediated degradation of p27/p21; Assembly of the pre-replicative complex; Regulation of RUNX3 expression and activity; Negative regulation of NOTCH4 signaling; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","Proteasome degradation; Parkin-ubiquitin proteasomal system pathway; VEGFA-VEGFR2 signaling",63,0,85.2,68.5,85.4,91.3,89.4,104,119,132,141,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S14(100)]",0,"ENSG00000108671"
"190","SLC1A3",0.410689876955125,6.58269211486967,4.46154823400378,0.00134536845295135,0.0115560069221927,-1.14630986946671,"NONE",FALSE,"High","Master Protein","P43003","Excitatory amino acid transporter 1 [OS=Homo sapiens]",0,63.48,3,1,4,33,1,542,59.5,8.41,123.08,1,"cell-cell signaling;other metabolic processes;stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;other cell component","transporter activity;other molecular function","Pf00375","6507","B2R5T3; hsa:6507; P43003; Q4JCQ8","ENSG00000079215","Glutamate Neurotransmitter Release Cycle; Transport of inorganic cations/anions and amino acids/oligopeptides; Astrocytic Glutamate-Glutamine Uptake And Metabolism; Defective SLC1A3 causes episodic ataxia 6 (EA6)","Synaptic vesicle pathway; Neuroinflammation and glutamatergic signaling; Cell lineage map for neuronal differentiation; Sudden infant death syndrome (SIDS) susceptibility pathways",8,0,108.2,107.1,97.7,81.5,59.6,89.6,105.8,110,104.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S512(100)]",0,"ENSG00000079215"
"191","FAM234A",0.68103415665336,6.64723870069089,4.45607677404771,0.00135651342246885,0.0115907324893673,-1.15486331166041,"NONE",FALSE,"High","Master Protein","Q9H0X4","Protein FAM234A [OS=Homo sapiens]",0,21.137,3,2,2,3,2,552,59.6,6.28,12.46,2,NA,"other membranes;other cell component",NA,NA,"83986","D3DU45; hsa:83986; Q7L416; Q96FR1; Q96MC7; Q96S30; Q9H0X4","ENSG00000167930",NA,NA,0,0,76.8,89.1,80.5,96.4,62.7,95.4,149.7,145.4,113.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S21(100)]",0,"ENSG00000167930"
"192","SLC12A6",-0.502214386411908,6.63892641158797,-4.45159721066314,0.00136571100143225,0.0116085435121741,-1.16186912140991,"NONE",FALSE,"High","Master Protein","Q9UHW9","Solute carrier family 12 member 6 [OS=Homo sapiens]",0,11.351,2,1,1,1,1,1150,127.5,7.08,3.88,1,"cell-cell signaling;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;other cell component","transporter activity;other molecular function","Pf00324, Pf03522","9990","A0AV76; hsa:9990; Q2VI00; Q7Z2E7; Q7Z4G5; Q8TDD4; Q9UFR2; Q9UHW9; Q9Y642; Q9Y665","ENSG00000140199","Cation-coupled Chloride cotransporters; Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",NA,2,0,126.9,98.4,101.7,114.5,117.6,111.5,84.8,76.8,94.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1032(100)]",0,"ENSG00000140199"
"193","PREX1",-0.358591632967124,6.59939737162676,-4.43719420070023,0.00139573541428017,0.0118022808088355,-1.18441286080063,"NONE",FALSE,"High","Master Protein","Q8TCU6","Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein [OS=Homo sapiens]",0,28.622,3,2,2,4,2,1659,186.1,6.44,10.63,2,"cell organization and biogenesis;other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;other cell component","enzyme regulator activity;other molecular function","Pf00610, Pf00621","57580","E1P5X9; hsa:57580; Q5JS95; Q5JS96; Q69YL2; Q7Z2L9; Q8TCU6; Q9BQH0; Q9BX55; Q9H4Q6; Q9P2D2; Q9UGQ4","ENSG00000124126","RAC1 GTPase cycle; RHOC GTPase cycle; RHOA GTPase cycle; RHOB GTPase cycle; CDC42 GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; RHOQ GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOJ GTPase cycle","Chemokine signaling pathway",13,0,88,97.4,99.3,107.7,114.4,110.8,83.5,91.9,95.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1200(100)]",0,"ENSG00000124126"
"194","DMWD",-0.385054686954825,6.63148663069586,-4.42343919780691,0.00142506417617025,0.0119881687397415,-1.20596812846734,"NONE",FALSE,"High","Master Protein","Q09019","Dystrophia myotonica WD repeat-containing protein [OS=Homo sapiens]",0,27.412,9,3,4,5,3,674,70.4,7.24,16.84,3,NA,"nucleus;other cell component","enzyme regulator activity","Pf00400","1762","hsa:1762; Q09019","ENSG00000185800",NA,NA,0,0,83,78.3,89.1,115.6,138.6,119.6,93.4,103.8,93.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S495(99.6); S545(100)]",0,"ENSG00000185800"
"195","ARHGAP39",-0.353094271507942,6.59478708050836,-4.41949635353845,0.00143359138903054,0.0119980571635787,-1.21215153786596,"NONE",FALSE,"High","Master Protein","Q9C0H5","Rho GTPase-activating protein 39 [OS=Homo sapiens]",0,27.459,3,2,2,2,2,1083,121.2,7.5,8.04,2,"cell organization and biogenesis;signal transduction;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","enzyme regulator activity","Pf00620, Pf00784","80728","B4E1I1; hsa:80728; Q9C0H5","ENSG00000147799","RHOA GTPase cycle; CDC42 GTPase cycle; RHOC GTPase cycle; RAC1 GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOB GTPase cycle; RHOD GTPase cycle; RHOF GTPase cycle; Inactivation of CDC42 and RAC1",NA,11,0,119.8,103.3,108.8,101.2,91.6,111.7,81.3,87.4,86.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S286(99.7); S604(100)]",0,"ENSG00000147799"
"196","ARHGEF2",0.38437831340027,6.64138396409806,4.41071695196246,0.00145277390123178,0.0120965663612769,-1.22592733361453,"NONE",FALSE,"High","Master Protein","Q92974","Rho guanine nucleotide exchange factor 2 [OS=Homo sapiens]",0,11.504,2,3,3,4,3,986,111.5,7.27,10.47,3,"cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","Pf00621, Pf17838","9181","D3DVA6; hsa:9181; O75142; Q15079; Q5VY92; Q8TDA3; Q8WUG4; Q92974; Q9H023","ENSG00000116584","RHOA GTPase cycle; RHOB GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events","Pathogenic Escherichia coli infection",5,0,100.8,87.7,87.7,87,90.3,91.3,109.4,117.5,128.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S174(100); S932(100)]",0,"ENSG00000116584"
"197","SH3BP2",-0.362610694160711,6.5913075817775,-4.40503529815529,0.00146533312233991,0.0121392063739022,-1.234847876154,"NONE",FALSE,"High","Master Protein","P78314","SH3 domain-binding protein 2 [OS=Homo sapiens]",0,4.573,3,2,2,2,2,561,62.2,7.78,4.98,2,"signal transduction",NA,"other molecular function","Pf00017, Pf00169","6452","A6NNC2; B2R5R6; B4DT04; D3DVR0; D6R919; hsa:6452; O00500; O15373; P78314; P78315","ENSG00000087266",NA,"B cell receptor signaling pathway",1,0,55.4,48.5,53.4,134.4,160.4,147.4,115.8,121.8,106.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S225(100); S427(100)]",0,"ENSG00000087266"
"198","DPY19L3",0.569855288645623,6.58594935936643,4.3997183083734,0.00147719070049917,0.012175632440478,-1.2431997360692,"NONE",FALSE,"High","Master Protein","Q6ZPD9","Probable C-mannosyltransferase DPY19L3 [OS=Homo sapiens]",0,11.53,2,1,1,1,1,716,83.1,8.72,4.38,1,NA,"other membranes;ER/Golgi;nucleus","other molecular function","Pf10034","147991","hsa:147991; Q68DC7; Q6ZPD9; Q6ZTB7; Q6ZTS2","ENSG00000178904",NA,NA,0,0,112.5,123.9,93.9,79.9,54.3,76.1,99,125.6,109.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S16(100)]",0,"ENSG00000178904"
"199","RMDN3",0.37090214650981,6.60172767246615,4.39502385249676,0.00148774462741956,0.0122010011655714,-1.25057682709914,"NONE",FALSE,"High","Master Protein","Q96TC7","Regulator of microtubule dynamics protein 3 [OS=Homo sapiens]",0,46.289,13,2,2,8,2,470,52.1,5.1,28.22,2,"other biological processes","other membranes;cytoskeleton;mitochondrion;nucleus;other cell component","cytoskeletal activity","Pf21033","55177","A9UMZ9; B3KRR3; hsa:55177; Q6ZWE9; Q96H23; Q96SD6; Q96TC7; Q9H6G1; Q9NVQ6","ENSG00000137824",NA,NA,0,0,113.6,105.7,100.2,74.2,75.7,86,104.4,102,114.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S46(100); S212(100)]",0,"ENSG00000137824"
"200","SSBP4",-0.564433754476928,6.54373274274513,-4.38136875690859,0.00151890109589993,0.0123942329425435,-1.27205158165926,"NONE",FALSE,"High","Master Protein","Q9BWG4","Single-stranded DNA-binding protein 4 [OS=Homo sapiens]",0,3.891,4,1,1,1,1,385,39.4,6.8,1.95,1,"other biological processes","nucleus","nucleic acid binding activity","Pf04503","170463","hsa:170463; Q9BWG4; Q9BWW5","ENSG00000130511",NA,NA,0,0,83.3,73.6,88,101.8,150.2,122.7,77.6,91.6,89.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S342(99.4)]",0,"ENSG00000130511"
"201","SF3A3",0.676149232055554,6.34193408810322,4.37132928724842,0.00154224923879364,0.0124743699017953,-1.28785581646611,"NONE",FALSE,"High","Master Protein","Q12874","Splicing factor 3A subunit 3 [OS=Homo sapiens]",0,7.898,2,1,1,2,1,501,58.8,5.38,4.34,1,"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes","nucleus","other molecular function","Pf11931, Pf12108, Pf13297, Pf16837","10946","D3DPT5; hsa:10946; Q12874; Q15460; Q5VT87","ENSG00000183431","mRNA Splicing - Major Pathway","Exercise-induced circadian regulation; mRNA processing",3,0,159.6,170.7,144.5,36.7,36,41.2,76.5,65.5,97.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S295(100)]",0,"ENSG00000183431"
"202","GPM6A",-0.496627035087817,6.6231712454214,-4.36502385693201,0.00155710783620354,0.0124743699017953,-1.29778863362972,"NONE",FALSE,"High","Master Protein","P51674","Neuronal membrane glycoprotein M6-a [OS=Homo sapiens]",0,35.437,9,3,3,4,3,278,31.2,5.27,14.01,3,"cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;other cell component","transporter activity","Pf01275","2823","B7Z642; E9PHI5; hsa:2823; P51674; Q92602","ENSG00000150625",NA,NA,0,0,82.7,97.3,95.4,106.1,121.9,133.9,83.6,86.4,100.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S267(99.7)]",0,"ENSG00000150625"
