"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"385","FNBP1L",0.473103607602826,6.68592960537726,5.36818735117981,0.000363880846027997,0.00154059461729683,-0.189435526505887,"NONE",FALSE,"High","Master Protein","Q5T0N5","Formin-binding protein 1-like [OS=Homo sapiens]",0,12.619,2,1,1,5,1,605,70,6.64,16.12,1,"cell organization and biogenesis;other metabolic processes;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","other molecular function","Pf00018, Pf00611","54874","hsa:54874; J3QSS4; Q5T0N5; Q5T0N6; Q6B097; Q6P653; Q6R4Q4; Q9NXG1","ENSG00000137942","CDC42 GTPase cycle; RHOJ GTPase cycle; Clathrin-mediated endocytosis",NA,3,0,78,80.5,88.4,127.1,111.1,115.7,109.2,113.8,108.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S295(100)]",0,"ENSG00000137942"
"386","AGFG1",0.512342478155614,6.66020596689113,5.36562455003585,0.000365167631447493,0.00154059461729683,-0.193182904739867,"UP",FALSE,"High","Master Protein","P52594","Arf-GAP domain and FG repeat-containing protein 1 [OS=Homo sapiens]",0,26.633,4,2,2,5,2,562,58.2,8.63,18.86,2,"cell organization and biogenesis;other metabolic processes;transport","cytosol;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function","Pf01412","3267","B3KUL1; E9PHX7; hsa:3267; P52594; Q15277; Q4VAS0; Q4VAS1; Q4VAS3; Q53QT8; Q53R11","ENSG00000173744","Cargo recognition for clathrin-mediated endocytosis",NA,2,0,79.3,85.1,89.1,118.5,112.8,139.4,98.5,95.4,102.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T177(100); S181(100)]",0,"ENSG00000173744"
"387","NUMBL",1.24073443004089,6.54105981812422,5.36531214088835,0.000365324826528109,0.00154059461729683,-0.193639779016714,"UP",FALSE,"High","Master Protein","Q9Y6R0","Numb-like protein [OS=Homo sapiens]",0,16.815,3,2,2,4,2,609,64.9,8.85,8.89,2,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;signal transduction;other biological processes","other cell component",NA,"Pf00640, Pf06311","9253","hsa:9253; Q7Z4J9; Q9Y6R0","ENSG00000105245",NA,"Notch signaling; Neurogenesis regulation in the olfactory epithelium; Notch signaling pathway",3,0,58.1,52.7,58.8,128.9,219.9,100.6,90.4,97.1,137.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S324(100)]",0,"ENSG00000105245"
"388","CLUH",-0.488461420598401,6.58069249035046,-5.36169628586728,0.000367149519241912,0.0015442990087701,-0.198928691811949,"NONE",FALSE,"High","Master Protein","O75153","Clustered mitochondria protein homolog [OS=Homo sapiens]",0,15.2,2,1,1,1,1,1309,146.6,6.13,5.04,1,"cell organization and biogenesis","other cell component","nucleic acid binding activity","Pf12807, Pf13236, Pf13374, Pf13424, Pf15044","23277","hsa:23277; O75153; Q6AHY2; Q6P3X7; Q6ZUG8; Q8N4U7; Q9BTA3; Q9H979","ENSG00000132361",NA,"Translation factors",1,0,117.8,106.2,124.1,88.9,76.2,80.8,91.2,100.4,87.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S664(100)]",0,"ENSG00000132361"
"389","PCGF6",-0.602648417331324,6.51819116337404,-5.3219504264175,0.000387864927489834,0.00162723794772085,-0.257186769957274,"DOWN",FALSE,"High","Master Protein","Q9BYE7","Polycomb group RING finger protein 6 [OS=Homo sapiens]",0,12.902,4,1,1,2,1,350,39,4.97,7.1,1,"cell organization and biogenesis;other biological processes","nucleus","other molecular function","Pf13923, Pf16207","84108","A8K3R4; hsa:84108; Q5SYD1; Q5SYD6; Q96ID9; Q96SJ1; Q9BYE7","ENSG00000156374","Transcriptional Regulation by E2F6",NA,1,0,114.3,138.5,126.7,75.2,70.9,100.9,77.3,74,82.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S115(100)]",0,"ENSG00000156374"
"390","PHACTR4",0.600120499658591,6.67858405525618,5.32007896938628,0.000388870784693007,0.00162727466825381,-0.259935389293282,"UP",FALSE,"High","Master Protein","Q8IZ21","Phosphatase and actin regulator 4 [OS=Homo sapiens]",0,10.987,4,2,2,2,2,702,78.2,6.62,3.52,2,"cell organization and biogenesis;developmental processes;signal transduction;other biological processes","other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","Pf02755","65979","A2APK6; B9ZVW0; D3DPM3; hsa:65979; Q68DD4; Q6NUN6; Q8IZ21; Q8N384; Q9H395; Q9H6X0; Q9H8W6","ENSG00000204138",NA,NA,0,0,71.8,81.7,97,113.5,148.2,137.2,98.4,100.1,101.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S118(100); S176(98.9)]",0,"ENSG00000204138"
"391","PAWR",0.844423904145706,6.60128479350635,5.29852819685988,0.000400657804829227,0.00167231083754808,-0.291622793156473,"UP",FALSE,"High","Master Protein","Q96IZ0","PRKC apoptosis WT1 regulator protein [OS=Homo sapiens]",0,10.904,4,1,2,5,1,340,36.5,5.41,7.4,1,"cell organization and biogenesis;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function",NA,"5074","hsa:5074; O75796; Q6FHY9; Q8N700; Q96IZ0","ENSG00000177425",NA,NA,0,0,67,60.7,53.4,106.6,136.6,98.5,110.3,161,153.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S231(100)]",0,"ENSG00000177425"
"392","MCRS1",-0.770143800528956,6.48220958647091,-5.29506597515393,0.000402586949318259,0.00167569569389802,-0.296719625407559,"DOWN",FALSE,"High","Master Protein","Q96EZ8","Microspherule protein 1 [OS=Homo sapiens]",0,15.2,4,1,1,2,1,462,51.8,9.38,6.99,1,"cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes","nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity","Pf00498, Pf13325","10445","hsa:10445; O14742; O75497; Q6VN53; Q7Z372; Q96EZ8","ENSG00000187778","UCH proteinases; Formation of WDR5-containing histone-modifying complexes; HATs acetylate histones; DNA Damage Recognition in GG-NER","3q29 copy number variation syndrome; 8p23.1 copy number variation syndrome",6,0,165.9,102.6,125.2,79.7,58.3,81.1,84.6,81.3,72,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S282(100)]",0,"ENSG00000187778"
"393","FABP7",-0.495243456706032,6.59824742925401,-5.29176929971189,0.000404433125433032,0.00167569569389802,-0.301574326505114,"NONE",FALSE,"High","Master Protein","O15540","Fatty acid-binding protein, brain [OS=Homo sapiens]",0,46.762,31,3,3,8,3,132,14.9,5.59,29.73,3,"cell cycle OR cell proliferation;transport;developmental processes;other biological processes","cytosol;nucleus","other molecular function","Pf00061","2173","B2R4L1; hsa:2173; O14951; O15540; Q6IAU7; Q9H047","ENSG00000164434","Triglyceride catabolism; NOTCH3 Intracellular Domain Regulates Transcription","PPAR signaling pathway; Fatty acid transporters; Cell lineage map for neuronal differentiation",5,0,113.9,117.2,121.3,93.6,71.8,82.5,88,103.2,91,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S14(100)]",0,"ENSG00000164434"
"394","OSBPL1A",-0.457752607918875,6.60114668434074,-5.29156277661929,0.000404549082963125,0.00167569569389802,-0.301878504575205,"NONE",FALSE,"High","Master Protein","Q9BXW6","Oxysterol-binding protein-related protein 1 [OS=Homo sapiens]",0,24.41,4,2,2,3,2,950,108.4,6.38,9.31,2,"other metabolic processes;transport","plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component","transporter activity;other molecular function","Pf01237, Pf12796","114876","B7Z7D3; hsa:114876; Q9BXW6; Q9BZF5; Q9NW87","ENSG00000141447","MHC class II antigen presentation; Synthesis of bile acids and bile salts",NA,2,0,115,105,125.6,88.3,81.2,81.8,98.2,93.6,94.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S465(100); S499(100)]",0,"ENSG00000141447"
"395","UBA6",1.39231936721463,6.46997769988461,5.28684536204895,0.000407207538174301,0.00168243722101382,-0.308828201642896,"UP",FALSE,"High","Master Protein","A0AVT1","Ubiquitin-like modifier-activating enzyme 6 [OS=Homo sapiens]",0,23.225,2,1,2,3,1,1052,117.9,6.14,6.77,1,"cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","cytosol;other cell component","other molecular function","Pf00899, Pf09358, Pf10585, Pf16190, Pf16191","55236","A0AVT1; A6N8M7; B2RAV3; hsa:55236; Q4W5K0; Q6UV21; Q86T78; Q86TC7; Q8N5T3; Q8N9E4; Q9H3T7; Q9NVC9","ENSG00000033178","Synthesis of active ubiquitin: roles of E1 and E2 enzymes; Antigen processing: Ubiquitination & Proteasome degradation",NA,2,0,40.3,44.1,38.5,110.7,166.4,90.8,95.5,188.7,181.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S36(100)]",0,"ENSG00000033178"
"396","SRRM2",-0.334564983621859,6.58066971009979,-5.28434632131755,0.000408623445348308,0.00168402389598091,-0.312511063363518,"NONE",FALSE,"High","Master Protein","Q9UQ35","Serine/arginine repetitive matrix protein 2 [OS=Homo sapiens]",0,1249.598,37,112,196,571,112,2752,299.4,12.06,1330.17,112,"RNA metabolism OR transcription;other metabolic processes","nucleus","nucleic acid binding activity;other molecular function","Pf08312","23524","A6NKB9; D3DU97; hsa:23524; O15038; O94803; Q6NSL3; Q6PIM3; Q6PK40; Q8IW17; Q96GY7; Q9P0G1; Q9UHA8; Q9UQ35; Q9UQ36; Q9UQ37; Q9UQ38; Q9UQ40","ENSG00000167978","mRNA Splicing - Major Pathway",NA,1,0,119.1,112.5,113.7,93.3,89.4,93.7,85.6,86.4,86.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S24(100); S222(100); T252(100); S295(100); S297(100); S323(99.3); S333(100); S351(100); S353(100); S377(100); S398(99.2); S404(100); S440(98.2); S456(99.7); S486(100); S510(100); S746(99.7); S774(100); S780(100); S783(100); S790(100); T792(100); S819(99.3); S820(99.7); T848(100); T866(100); S876(99.7); T903(99.1); S908(100); S914(100); S954(100); S972(99); S974(98.6); T983(100); S994(100); T1003(100); S1014(100); T1043(99.5); S1083(100); S1103(99.6); S1110(99.5); S1112(98.8); S1124(100); S1132(100); S1179(100); T1208(100); S1219(99.7); S1320(100); S1329(100); S1401(98.4); S1404(99.4); T1413(99.4); S1421(99.4); T1434(100); S1443(99.5); T1472(100); S1482(99.6); T1492(100); S1499(100); T1511(100); S1519(100); T1531(100); S1542(99.3); S1552(100); S1601(99.7); S1616(99.7); S1620(99.2); S1672(99.6); S1675(99.7); S1691(99.2); S1694(100); S1727(99.6); S1731(100); S1762(100); S1764(100); S1854(99.8); S1857(99.7); T1880(100); S1925(100); T1927(100); S1948(100); T1950(100); S1960(100); T1962(100); S1975(100); S2020(100); T2022(100); S2032(100); T2034(100); S2044(100); S2046(100); S2067(100); S2071(100); S2102(99); T2104(100); S2132(100); S2272(100); S2310(100); S2382(99.4); T2409(99.7); S2426(100); S2449(100); S2581(100); S2688(100); S2694(100); S2702(100)]",0,"ENSG00000167978"
"397","ESYT2",0.792717406117533,6.64404463178478,5.28095746878842,0.000410551953742186,0.00168770979472858,-0.317506659161428,"UP",FALSE,"High","Master Protein","A0FGR8","Extended synaptotagmin-2 [OS=Homo sapiens]",0,22.548,3,2,4,6,2,921,102.3,9.26,18.41,2,"cell organization and biogenesis;transport","plasma membrane;other membranes;cytosol;ER/Golgi;other cell component","other molecular function","Pf00168, Pf17047","57488","A0FGR8; A4D229; hsa:57488; Q69YJ2; Q6UKI4; Q6ZTU0; Q6ZVU1; Q9BQS0; Q9NW47; Q9ULJ2","ENSG00000117868","Glycosphingolipid transport",NA,1,0,58.2,65.5,77.9,126.6,87.4,134.4,115.3,122.5,136.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S676(100); S761(100)]",0,"ENSG00000117868"
"398","PTPN21",0.462293775178725,6.61823108368945,5.27161286576417,0.000415920532541332,0.00170241989550448,-0.331290186127097,"NONE",FALSE,"High","Master Protein","Q16825","Tyrosine-protein phosphatase non-receptor type 21 [OS=Homo sapiens]",0,37.252,2,2,2,3,2,1174,133.2,7.9,10.91,2,"protein metabolism;other metabolic processes","cytoskeleton;other cell component","other molecular function","Pf00102, Pf00373, Pf09379, Pf09380","11099","hsa:11099; Q16825","ENSG00000070778",NA,NA,0,0,96.2,90,88.2,123.3,124.4,139.8,81.7,81.1,87.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S590(99.5); S673(100)]",0,"ENSG00000070778"
"399","ARL6IP4",-0.549814606501977,6.58341963955094,-5.2711012515246,0.000416216628864147,0.00170241989550448,-0.332045186270133,"DOWN",FALSE,"High","Master Protein","Q66PJ3","ADP-ribosylation factor-like protein 6-interacting protein 4 [OS=Homo sapiens]",0,15.2,7,1,1,2,1,237,26.4,10.86,9.78,1,"RNA metabolism OR transcription;other metabolic processes","nucleus",NA,"Pf10500","51329","A4UCR8; B3V0L0; B3V0L1; hsa:51329; Q4F966; Q504R8; Q66PJ3; Q96BI2; Q9NR05; Q9P2R9","ENSG00000182196",NA,NA,0,0,113.5,119.1,121.4,73.9,89.4,78.2,96.5,87.6,99,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S148(100)]",0,"ENSG00000182196"
"400","DNAJB11",-0.608527586212364,6.57119174604374,-5.26904845161316,0.000417406962946226,0.0017030204088206,-0.335074919044037,"DOWN",FALSE,"High","Master Protein","Q9UBS4","DnaJ homolog subfamily B member 11 [OS=Homo sapiens]",0,50.622,4,1,2,9,1,358,40.5,6.18,36.5,1,"protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","non-structural extracellular;ER/Golgi;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","Pf00226, Pf01556","51726","hsa:51726; Q542Y5; Q542Y9; Q6IAQ8; Q96JC6; Q9UBS4","ENSG00000090520","XBP1(S) activates chaperone genes","Photodynamic therapy-induced unfolded protein response",2,0,113.4,124,115,77.5,68.4,78,109.3,83.8,99,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T188(100)]",0,"ENSG00000090520"
"401","EFNB3",0.589050914489765,6.64030315475169,5.26154811900244,0.000421787265758089,0.00171660054293567,-0.346149739530772,"UP",FALSE,"High","Master Protein","Q15768","Ephrin-B3 [OS=Homo sapiens]",0,35.513,7,2,3,11,2,340,35.8,8.6,26.52,2,"cell-cell signaling;cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;other cell component","signal transduction activity or receptor binding;kinase activity;other molecular function","Pf00812","1949","B2RBW2; D3DTQ6; hsa:1949; O00680; Q15768; Q8TBH7; Q92875","ENSG00000108947","EPHB-mediated forward signaling; Ephrin signaling; EPH-ephrin mediated repulsion of cells",NA,4,0,71.8,74.3,74.8,95.3,136.9,123.2,118.3,111.3,116.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S268(100); S274(100)]",0,"ENSG00000108947"
"402","DDX51",0.475135866051144,6.65256216461699,5.25823928676548,0.000423735336231501,0.00171989555760342,-0.351038011470592,"NONE",FALSE,"High","Master Protein","Q8N8A6","ATP-dependent RNA helicase DDX51 [OS=Homo sapiens]",0,15.2,2,1,1,1,1,666,72.4,8.16,4.39,1,"RNA metabolism OR transcription;other metabolic processes","nucleus","other molecular function","Pf00270, Pf00271","317781","A8MPT9; hsa:317781; Q5CZ71; Q8IXK5; Q8N8A6; Q96ED1","ENSG00000185163; ENSG00000288503",NA,NA,0,0,80.2,79.3,71.4,115.2,103.5,112.3,116,126.6,111.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S83(100)]",0,"ENSG00000185163"
"403","AJM1",0.763590356035167,6.62884834908533,5.25556955354646,0.000425314178648081,0.00171989555760342,-0.354983243525369,"UP",FALSE,"High","Master Protein","C9J069","Apical junction component 1 homolog [OS=Homo sapiens]",0,33.187,3,2,2,3,2,976,106.6,9.03,11.62,2,"cell organization and biogenesis","plasma membrane;other membranes;other cell component",NA,NA,"389813","C9J069","ENSG00000232434",NA,NA,0,0,77.6,86.4,82.1,143.2,117.3,165.9,81.8,96.9,77.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S109(100)]",0,"ENSG00000232434"
"404","SUB1",-0.742652337598272,6.47625555775718,-5.25482021821851,0.00042575845911261,0.00171989555760342,-0.356090764183996,"DOWN",FALSE,"High","Master Protein","P53999","Activated RNA polymerase II transcriptional coactivator p15 [OS=Homo sapiens]",0,44.446,40,4,8,9,4,127,14.4,9.6,24.63,4,"RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf02229","10923","hsa:10923; P53999; Q96L29","ENSG00000113387",NA,NA,0,0,117.9,113,111.5,62.4,70.4,62.6,78.7,91,111.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S15(100); S56(99.1); S118(100)]",0,"ENSG00000113387"
"405","ACOX1",-0.730084215874653,6.54579348928442,-5.23217678835009,0.00043942148738396,0.00177070584545833,-0.389595238825243,"DOWN",FALSE,"High","Master Protein","Q15067","Peroxisomal acyl-coenzyme A oxidase 1 [OS=Homo sapiens]",0,3.501,4,2,2,2,2,660,74.4,8.16,1.87,2,"cell organization and biogenesis;other metabolic processes;other biological processes","other membranes;cytosol;other cytoplasmic organelle","other molecular function","Pf01756, Pf02770, Pf14749","51","A8K6X8; A8KAA0; B4DK61; F5GYQ8; hsa:51; Q12863; Q15067; Q15068; Q15101; Q16131; Q7Z3W5; Q9UD31","ENSG00000161533","TYSND1 cleaves peroxisomal proteins","Estrogen receptor pathway; Nuclear receptors meta-pathway; PPAR signaling pathway; Eicosanoid metabolism via cyclooxygenases (COX); Eicosanoid metabolism via lipooxygenases (LOX); Omega-3 / omega-6 fatty acid synthesis",8,0,120.6,116.7,134.8,73.4,58.2,88.5,104.8,78.3,89,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S26(100)]",0,"ENSG00000161533"
"406","HADHB",-0.396926345236165,6.58362153100597,-5.20728138126046,0.000454988386803564,0.00182891883562418,-0.426515384690962,"NONE",FALSE,"High","Master Protein","P55084","Trifunctional enzyme subunit beta, mitochondrial [OS=Homo sapiens]",0,8.788,4,3,3,4,2,474,51.3,9.41,8.88,3,"other metabolic processes;other biological processes","other membranes;mitochondrion;ER/Golgi","nucleic acid binding activity;other molecular function","Pf00108, Pf02803","3032","B2RB16; B4E2W0; hsa:3032; O14969; P55084; Q53TA6; Q96C77; Q9H3F5; Q9T2V8","ENSG00000138029","Acyl chain remodeling of CL; mitochondrial fatty acid beta-oxidation of unsaturated fatty acids; Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA; Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of palmitoyl-CoA to myristoyl-CoA","Fatty acid beta-oxidation; Valproic acid pathway; Female steroid hormones in cardiomyocyte energy metabolism; Sudden infant death syndrome (SIDS) susceptibility pathways",12,0,120.2,110.9,106.5,85,76.6,93.4,89.3,98.8,93.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S197(100)]",0,"ENSG00000138029"
"407","PNKP",-0.674971646632917,6.52741358279094,-5.19236650943542,0.000464597186130698,0.00186295481023415,-0.448676176028901,"DOWN",FALSE,"High","Master Protein","Q96T60","Bifunctional polynucleotide phosphatase/kinase [OS=Homo sapiens]",0,15.2,4,1,1,2,1,521,57,8.46,8.69,1,"DNA metabolism;other metabolic processes;stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;kinase activity;other molecular function","Pf08645, Pf13671, Pf17913","11284","hsa:11284; Q96T60; Q9BUL2; Q9P1V2; Q9UKU8; Q9UNF8; Q9UNI0","ENSG00000039650","APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway","Base excision repair; DNA repair pathways, full network",3,0,121,122.6,130.3,85.8,52.4,93.4,83.2,92.6,78.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T118(100)]",0,"ENSG00000039650"
"408","GYG2",0.597920807139707,6.69263443359497,5.18880171920142,0.000466925864728467,0.00186770345891387,-0.453977451965785,"UP",FALSE,"High","Master Protein","O15488","Glycogenin-2 [OS=Homo sapiens]",0,5.593,2,2,2,2,2,501,55.1,5.1,5.07,2,"other metabolic processes","cytosol;other cell component","other molecular function","Pf01501","8908","B7WNN6; hsa:8908; O15485; O15486; O15487; O15488; O15489; O15490","ENSG00000056998","Glycogen synthesis; Glycogen storage disease type 0 (liver GYS2); Glycogen storage disease type IV (GBE1); Glycogen breakdown (glycogenolysis)","Glycogen synthesis and degradation; Disorders of galactose metabolism",6,0,80.6,87.7,82.9,131,118.7,138.1,88.2,102.4,114.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S468(100)]",0,"ENSG00000056998"
"409","DNMT3A",-0.467388219911104,6.53081387927848,-5.18459345309592,0.000469691016850324,0.00187417051222427,-0.460237960624315,"NONE",FALSE,"High","Master Protein","Q9Y6K1","DNA (cytosine-5)-methyltransferase 3A [OS=Homo sapiens]",0,49.687,5,3,4,6,3,912,101.8,6.57,22.72,3,"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00145, Pf00855, Pf17980, Pf21255","1788","E9PEB8; hsa:1788; Q86TE8; Q86XF5; Q8IZV0; Q8WXU9; Q9Y6K1","ENSG00000119772","RMTs methylate histone arginines; PRC2 methylates histones and DNA; Defective pyroptosis; DNA methylation; SUMOylation of DNA methylation proteins","One-carbon metabolism; Trans-sulfuration, one-carbon metabolism and related pathways; Hematopoietic stem cell gene regulation by GABP alpha/beta complex; One-carbon metabolism and related pathways; MTHFR deficiency; Opioid receptor pathways; Spina bifida",12,0,127.1,119.9,125.2,86,102,86.5,75.4,79.1,75.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S105(100); S243(100)]",0,"ENSG00000119772"
"410","PPP1R12A",0.42880518495414,6.65994067267063,5.16943117321516,0.000479800369242558,0.00190983951854599,-0.482815119934279,"NONE",FALSE,"High","Master Protein","O14974","Protein phosphatase 1 regulatory subunit 12A [OS=Homo sapiens]",0,49.685,3,3,4,5,3,1030,115.2,5.4,22.26,3,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","enzyme regulator activity;other molecular function","Pf00023, Pf15898","4659","B4DZ09; F8VWB4; hsa:4659; O14974; Q2NKL4; Q569H0; Q86WU3; Q8NFR6; Q9BYH0","ENSG00000058272","Regulation of PLK1 Activity at G2/M Transition; RHO GTPases activate CIT; RHO GTPases activate PKNs; RHO GTPases Activate ROCKs; RHO GTPases activate PAKs","Focal adhesion; Hippo-Merlin signaling dysregulation; Regulation of actin cytoskeleton",8,0,73.7,77.5,72.5,99.6,117,100.4,122.7,132.8,133.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S445(100)]",0,"ENSG00000058272"
"411","PXN",0.494898832738043,6.64177742300883,5.15268568929107,0.000491237158901898,0.00195060594483673,-0.507787367790514,"NONE",FALSE,"High","Master Protein","P49023","Paxillin [OS=Homo sapiens]",0,70.586,12,4,5,9,4,591,64.5,6.19,27.01,4,"cell adhesion;cell organization and biogenesis;stress response;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function","Pf00412, Pf03535","5829","B2RAI3; B7ZMB4; hsa:5829; O14970; O14971; O60360; P49023; Q5HYA4","ENSG00000089159","VEGFA-VEGFR2 Pathway; GAB1 signalosome; Smooth Muscle Contraction; PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases; Localization of the PINCH-ILK-PARVIN complex to focal adhesions; Regulation of cytoskeletal remodeling and cell spreading by IPP complex components","Integrin-mediated cell adhesion; Prolactin signaling pathway; Androgen receptor network in prostate cancer; Oncostatin M signaling pathway; Focal adhesion; Hepatocyte growth factor receptor signaling; RAC1/PAK1/p38/MMP2 pathway; VEGFA-VEGFR2 signaling; Chemokine signaling pathway; MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement; Gastrin signaling pathway; 3q29 copy number variation syndrome; Regulation of actin cytoskeleton; GDNF signaling; HDAC6 interactions in the central nervous system",21,0,85,86.1,86.6,126.4,144,114.6,99.7,93.1,87.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S137(99.4); S303(99.6)]",0,"ENSG00000089159"
"412","LUC7L",-0.566601798812155,6.61383209004944,-5.13972378570605,0.000500290503454938,0.00198173325640403,-0.527144342674494,"DOWN",FALSE,"High","Master Protein","Q9NQ29","Putative RNA-binding protein Luc7-like 1 [OS=Homo sapiens]",0,8.218,3,1,1,2,1,371,43.7,9.92,7.05,1,"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus","nucleic acid binding activity;other molecular function","Pf03194","55692","B8ZZ13; hsa:55692; Q96S32; Q9NPH4; Q9NQ29","ENSG00000007392",NA,"VEGFA-VEGFR2 signaling",1,0,122.6,128.6,130.2,92.4,92.6,73.4,95,87.8,85.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S363(100)]",0,"ENSG00000007392"
